bin,brand,sub_brand,country_code,country_name,bank,card_type,card_category,latitude,longitude,query_time
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
535316,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
555005,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
532655,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
537196,MASTERCARD,Cirrus,AU,Australia,,DEBIT,,-27,133,
528013,MASTERCARD,,AU,Australia,BANKWEST,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
546827,MASTERCARD,,AU,Australia,ANZ,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
518868,MASTERCARD,MasterCard,AU,Australia,,CREDIT,,-27,133,
518868,MASTERCARD,MasterCard,AU,Australia,,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
535317,VISA,Visa Plus,US,United States,,DEBIT,,38,-97,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
516325,MASTERCARD,Cirrus,AU,Australia,,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
532655,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
555005,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
546827,MASTERCARD,,AU,Australia,ANZ,CREDIT,,-27,133,
532655,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
475110,VISA,,GB,United Kingdom,"ULSTER BANK, LTD.",DEBIT,,54,-2,
516325,MASTERCARD,Cirrus,AU,Australia,,DEBIT,,-27,133,
532655,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
528013,MASTERCARD,,AU,Australia,BANKWEST,DEBIT,,-27,133,
546827,MASTERCARD,,AU,Australia,ANZ,CREDIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
535316,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
537196,MASTERCARD,Cirrus,AU,Australia,,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
518868,MASTERCARD,MasterCard,AU,Australia,,CREDIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
518868,MASTERCARD,MasterCard,AU,Australia,,CREDIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
532655,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
535316,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
476383,VISA,VISA.,GB,United Kingdom,,DEBIT,,54,-2,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
537703,MASTERCARD,MasterCard,KR,South Korea,,CREDIT,,37,127.5,
537196,MASTERCARD,Cirrus,AU,Australia,,DEBIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
516361,MASTERCARD,,AU,Australia,WESTPAC,DEBIT,,-27,133,
528013,MASTERCARD,,AU,Australia,BANKWEST,DEBIT,,-27,133,
535316,MASTERCARD,,AU,Australia,COMMONWEALTH BANK OF AUSTRALIA,CREDIT,,-27,133,
521729,MASTERCARD,,AU,Australia,COMMONWEALTH,DEBIT,,-27,133,
